"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"g:\quiz_app_new\lib\bloc\auth\auth_bloc.dart", "Dart", 0, -8, 0, 0, -8
"g:\quiz_app_new\lib\bloc\course\course_bloc.dart", "Dart", 0, -10, 0, -5, -15
"g:\quiz_app_new\lib\bloc\course\course_event.dart", "Dart", 0, 2, 0, 1, 3
"g:\quiz_app_new\lib\bloc\courses\courses_bloc.dart", "Dart", 0, 164, 3, 26, 193
"g:\quiz_app_new\lib\bloc\courses\courses_event.dart", "Dart", 0, 27, 0, 15, 42
"g:\quiz_app_new\lib\bloc\courses\courses_state.dart", "Dart", 0, 18, 0, 15, 33
"g:\quiz_app_new\lib\bloc\user\user_info_bloc.dart", "Dart", 0, 7, 0, 4, 11
"g:\quiz_app_new\lib\bloc\user\user_info_state.dart", "Dart", 0, 0, 1, -1, 0
"g:\quiz_app_new\lib\data\models\add_lesson_data_model.dart", "Dart", 0, 14, 0, 7, 21
"g:\quiz_app_new\lib\data\models\course.dart", "Dart", 0, -2, 0, 2, 0
"g:\quiz_app_new\lib\data\models\course.g.dart", "Dart", 0, 3, 0, 2, 5
"g:\quiz_app_new\lib\data\models\lesson.dart", "Dart", 0, 2, 0, 0, 2
"g:\quiz_app_new\lib\data\models\lesson.g.dart", "Dart", 0, 9, 0, 2, 11
"g:\quiz_app_new\lib\data\models\module.dart", "Dart", 0, -2, -1, 2, -1
"g:\quiz_app_new\lib\data\models\module.g.dart", "Dart", 0, 4, 0, 2, 6
"g:\quiz_app_new\lib\data\models\question.dart", "Dart", 0, 8, 0, 1, 9
"g:\quiz_app_new\lib\data\models\question.g.dart", "Dart", 0, 7, 0, 2, 9
"g:\quiz_app_new\lib\data\models\user_profile.dart", "Dart", 0, -7, 0, 0, -7
"g:\quiz_app_new\lib\main.dart", "Dart", 0, 1, 0, 0, 1
"g:\quiz_app_new\lib\ui\screens\add_edit_course.dart", "Dart", 0, 53, 2, 1, 56
"g:\quiz_app_new\lib\ui\screens\course_page.dart", "Dart", 0, 94, 0, 5, 99
"g:\quiz_app_new\lib\ui\screens\home.dart", "Dart", 0, 18, -1, 3, 20
"g:\quiz_app_new\lib\ui\screens\profile_screen.dart", "Dart", 0, 3, 0, 0, 3
"g:\quiz_app_new\lib\ui\screens\quiz\quiz_view.dart", "Dart", 0, -39, 41, -2, 0
"g:\quiz_app_new\lib\ui\screens\register_page.dart", "Dart", 0, 0, 1, 1, 2
"g:\quiz_app_new\lib\ui\screens\user_type.dart", "Dart", 0, 7, -1, 0, 6
"g:\quiz_app_new\lib\ui\widgets\add_edit_lesson.dart", "Dart", 0, 62, 0, 4, 66
"g:\quiz_app_new\lib\ui\widgets\add_edit_module.dart", "Dart", 0, 89, 0, 6, 95
"g:\quiz_app_new\lib\ui\widgets\common_button.dart", "Dart", 0, 2, 0, 0, 2
"g:\quiz_app_new\lib\ui\widgets\home_widgets\drawer.dart", "Dart", 0, 49, 2, 4, 55
"g:\quiz_app_new\lib\utils\common_functions.dart", "Dart", 0, 50, 2, 4, 56
"g:\quiz_app_new\lib\utils\constants.dart", "Dart", 0, 2, 0, 0, 2
"g:\quiz_app_new\lib\utils\routes.dart", "Dart", 0, 18, 3, 3, 24
"g:\quiz_app_new\pubspec.yaml", "YAML", 2, 0, 0, 0, 2
"Total", "-", 2, 645, 52, 104, 803